ToM (+2400000);Ucrt(d);Type;E,Phi;P_Shift;E GCVS;O-C (d);Observer;Reference (see bibliography);source
43554.1400;0.150;vis;-2842.91;0;-2843;0.340;FCH (Fecchucci);Busquets 1982;GEOS
43569.2400;0.150;vis;-2838.86;0;-2839;0.530;CLV (Clovin);Busquets 1982;GEOS
43572.8100;0.150;vis;-2837.90;0;-2838;0.370;NZY (Nezry);Busquets 1982;GEOS
43606.3700;0.080;vis;-2828.90;0;-2829;0.370;MIS (Misson);GEOS pr. com.;GEOS
43826.3800;0.150;vis;-2769.89;0;-2770;0.400;un.;AAVSO Berdnikov 2003;AAVSO
43830.0900;0.050;pe;-2768.90;0;-2769;0.380;Moffett & Barnes 1984;Meyer 2023;ADS
43935.8700;0.150;vis;-2740.53;0;-2741;1.770;un.;Turner 2007 tab. 3;AAVSO
43975.5180;0.150;un.;-2729.89;0;-2730;0.400;Moffett & Barnes 1984;Turner 2007 tab. 3;ADS
43990.4200;0.150;V;-2725.90;0;-2726;0.390;Harris 1980;Turner 2007 tab.2;ADS
44031.3100;0.150;vis;-2714.93;0;-2715;0.270;RAL (Ralincourt);Gobet 1992;GEOS
44079.9200;0.150;V;-2701.89;0;-2702;0.410;Moffett & Barnes 1984;Fernie 1993;ADS
44080.0200;0.150;vis;-2701.86;0;-2702;0.510;PMP (Pampaloni);Dalmazzio 1998;GEOS
44106.0010;0.150;V;-2694.90;0;-2695;0.390;Moffett & Barnes 1984;Szabados 1991;ADS
44135.7950;0.150;vis;-2686.91;0;-2687;0.350;un.;Turner 2007 tab. 3;AAVSO
44217.8220;0.150;V;-2664.90;0;-2665;0.350;Moffett & Barnes 1984;Moffett & Barnes 1984;CDB
44240.2600;0.150;vis;-2658.89;0;-2659;0.420;Ficola;Busquets 1982;GEOS
44251.3500;0.100;vis;-2655.91;0;-2656;0.330;BTL (Boistel);GEOS this paper;GEOS
44266.3500;0.100;vis;-2651.89;0;-2652;0.410;BTL (Boistel);GEOS this paper;GEOS
44288.7500;0.150;vis;-2645.88;0;-2646;0.440;un.;AAVSO Berdnikov 2003;AAVSO
44292.3400;0.050;vis;-2644.92;0;-2645;0.300;Reichenbaecher;Meyer 2023;BAV
44296.1600;0.150;vis;-2643.89;0;-2644;0.390;MLO;Busquets 1982;GEOS
44344.7100;0.050;vis;-2630.87;0;-2631;0.470;Hinzpeter;Meyer 2023;BAV
44378.0930;0.150;vis;-2621.92;0;-2622;0.300;un.;Turner 2007 tab. 3;AAVSO
44430.3440;0.150;vis;-2607.91;0;-2608;0.350;BTL (Boistel);Busquets 1982;GEOS
44523.9200;0.150;V;-2582.81;0;-2583;0.720;Eggen ;Fernie 1993;ADS
44534.7920;0.150;un.;-2579.89;0;-2580;0.400;Eggen 1985;Turner 2007 tab. 3;ADS
44542.0140;0.050;pe;-2577.95;0;-2578;0.170;Eggen;Meyer 2023;ADS
44635.3600;0.050;vis;-2552.92;0;-2553;0.300;Reichenbaecher;Meyer 2023;BAV
44635.4200;0.050;vis;-2552.90;0;-2553;0.360;Raetz;Meyer 2023;BAV
44639.2700;0.150;vis;-2551.87;0;-2552;0.480;Ficola;Busquets 1982;GEOS
44665.2600;0.050;vis;-2544.90;0;-2545;0.370;Raetz;Meyer 2023;BAV
44665.3400;0.050;vis;-2544.88;0;-2545;0.450;Reichenbaecher;Meyer 2023;BAV
44702.5000;0.050;vis;-2534.91;0;-2535;0.330;Reichenbaecher;Meyer 2023;BAV
44706.3300;0.050;vis;-2533.88;0;-2534;0.430;Reichenbaecher;Meyer 2023;BAV
44706.3700;0.050;vis;-2533.87;0;-2534;0.470;Koehler;Meyer 2023;BAV
44706.6000;0.050;vis;-2533.81;0;-2534;0.700;Raetz;Meyer 2023;BAV
44710.3800;0.050;vis;-2532.80;0;-2533;0.750;Raetz;Meyer 2023;BAV
44758.5220;0.150;vis;-2519.89;0;-2520;0.420;un.;Turner 2007 tab. 3;AAVSO
44937.3500;0.050;vis;-2471.92;0;-2472;0.280;Raetz;Meyer 2023;BAV
44952.3000;0.050;vis;-2467.91;0;-2468;0.320;Koehler;Meyer 2023;BAV
44956.4000;0.050;vis;-2466.81;0;-2467;0.690;Koehler;Meyer 2023;BAV
44967.4100;0.050;vis;-2463.86;0;-2464;0.520;Koehler;Meyer 2023;BAV
44986.1000;0.050;vis;-2458.85;0;-2459;0.560;Reichenbaecher;Meyer 2023;BAV
45001.0200;0.050;vis;-2454.85;0;-2455;0.570;Schmidt;Meyer 2023;BAV
45004.6000;0.150;vis;-2453.89;0;-2454;0.420;MAM (Mammolitti);Busquets 1982;GEOS
